Complaint ID,Product
8530547,Credit card
11621445,Credit card
8018394,Credit card
1889806,Credit card
8530458,Credit card
8530458,Credit card
2196808,Credit card
13852479,Credit card
8252107,Credit card
7483264,Credit card
7591129,Credit card
7591129,Credit card
7667515,Credit card
12072949,Credit card
1978305,Credit card
10047567,Credit card
1685211,Credit card
7529569,Credit card
11300596,Credit card
11300596,Credit card
8825619,Credit card
12248804,Credit card
9392329,Credit card
13738064,Credit card
13738064,Credit card
8675382,Credit card
1706884,Credit card
1706884,Credit card
1706884,Credit card
8881573,Credit card
1541905,Credit card
1541905,Credit card
13294349,Credit card
10661857,Credit card
10661857,Credit card
10661857,Credit card
10661857,Credit card
11684687,Credit card
9158921,Credit card
9158921,Credit card
9158921,Credit card
2216575,Credit card
7929902,Credit card
7929902,Credit card
7929902,Credit card
7929902,Credit card
10130575,Credit card
7671908,Credit card
11800219,Credit card
7568479,Credit card
7841863,Credit card
1677954,Credit card
1677954,Credit card
1677954,Credit card
8448545,Credit card
11739262,Credit card
1471901,Credit card
2028864,Credit card
12658395,Credit card
12658395,Credit card
12658395,Credit card
12658395,Credit card
10285790,Credit card
8027269,Credit card
8027269,Credit card
2143700,Credit card
10431269,Credit card
10431269,Credit card
12459564,Credit card
12459564,Credit card
10449073,Credit card
8050875,Credit card
11845642,Credit card
11845642,Credit card
11845642,Credit card
8277075,Credit card
2140641,Credit card
2140641,Credit card
7466599,Credit card
1631149,Credit card
1631149,Credit card
2188565,Credit card
2188565,Credit card
2188565,Credit card
8012295,Credit card
1834742,Credit card
1834742,Credit card
7551242,Credit card
2056598,Credit card
7929508,Credit card
12592841,Credit card
7640362,Credit card
2252976,Credit card
7510871,Credit card
1405098,Credit card
1986027,Credit card
1697237,Credit card
8828725,Credit card
11691253,Credit card
9433370,Credit card
10304828,Credit card
10304828,Credit card
10453205,Credit card
1412501,Credit card
12015751,Credit card
8032651,Credit card
9079845,Credit card
9079845,Credit card
1745305,Credit card
12273312,Credit card
12273312,Credit card
11948990,Credit card
11294691,Credit card
12689977,Credit card
11951518,Credit card
11951518,Credit card
8590231,Credit card
7515806,Credit card
2273569,Credit card
9993077,Credit card
7712912,Credit card
7955764,Credit card
7955764,Credit card
7941146,Credit card
